"years","min","med","max"
2023,300,300,300
2024,295,303,304
2025,303,308,327
2026,307,336,348
2027,300,351,361
2028,310,352,365
2029,288,356,360
2030,337,342,354
2031,295,361,356
2032,279,409,307
2033,272,407,345
2034,210,450,344
2035,216,394,384
2036,194,369,404
2037,197,346,427
2038,206,308,378
2039,194,347,374
2040,215,330,374
2041,218,338,372
2042,213,323,373
2043,221,304,364
2044,200,337,388
2045,179,340,377
2046,197,367,396
2047,200,375,371
2048,214,393,376
2049,199,410,403
2050,218,434,433
2051,197,415,458
2052,199,415,458
2053,232,430,451
