"years","min","med","max"
2023,300,300,300
2024,306,302,306
2025,310,319,327
2026,317,335,314
2027,319,379,297
2028,362,390,308
2029,368,409,297
2030,342,413,306
2031,372,372,343
2032,361,418,370
2033,398,403,416
2034,397,383,427
2035,380,424,474
2036,368,420,474
2037,392,469,469
2038,366,479,489
2039,370,486,472
2040,320,492,519
2041,295,435,516
2042,319,388,494
2043,304,350,517
2044,221,356,503
2045,224,326,520
2046,221,350,505
2047,219,347,476
2048,216,354,506
2049,218,292,499
2050,223,301,502
2051,220,291,494
2052,213,288,496
2053,220,261,522
