"years","min","med","max"
2023,300,300,300
2024,296,297,304
2025,284,295,329
2026,305,314,295
2027,270,318,308
2028,259,291,306
2029,250,306,290
2030,240,270,264
2031,223,260,247
2032,166,268,251
2033,179,269,256
2034,173,294,276
2035,182,293,274
2036,168,272,269
2037,150,264,279
2038,143,268,266
2039,139,270,280
2040,136,256,294
2041,139,269,288
2042,141,264,285
2043,147,266,293
2044,137,217,287
2045,158,219,297
2046,178,226,284
2047,159,199,317
2048,166,193,321
2049,161,198,318
2050,179,183,313
2051,165,196,275
2052,186,200,266
2053,190,189,270
